epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,5.17677,2.3713,4.07295,3.5483,0.04446,0.01515,0.5,0.04523,0.02714,2.28582,3.56604,6.2174,0.00045,8.335e-05,8.335e-05,8.335e-05
2,12.6623,2.30798,3.90086,3.96076,0.02656,0.02632,0.5,0.4975,0.2985,2.1579,3.43734,6.10005,0.00038,0.000181555,0.000181555,0.000181555
3,20.7129,1.97943,3.54235,2.79932,0.0154,0.01667,0.5,0.4975,0.2985,1.82143,3.29317,4.91779,0.00068,0.000277779,0.000277779,0.000277779
4,28.4034,1.78168,3.11048,2.39033,0.0267,0.28088,0.5,0.51913,0.25091,1.77674,3.07287,3.4911,0.00142,0.000372023,0.000372023,0.000372023
5,35.76,1.59639,2.81818,2.00212,0.02527,0.30975,0.5,0.55969,0.26533,1.95302,2.72172,3.50924,0.00158,0.000464286,0.000464286,0.000464286
6,51.9085,1.64068,2.33103,2.21663,0.03532,0.89329,0.5,0.74625,0.2985,2.24627,2.25356,3.22359,0.00177,0.000554569,0.000554569,0.000554569
7,58.4744,1.84888,2.71567,2.195,0.02686,0.98194,0.5,0.62187,0.14925,2.50524,2.16071,2.32548,0.00192,0.000642872,0.000642872,0.000642872
8,62.8592,1.6418,2.27318,1.73504,0.02634,0.98194,0.5,0.62187,0.14925,2.50524,2.16071,2.32548,0.00192,0.000729194,0.000729194,0.000729194
9,67.5279,1.4428,1.72663,1.54689,0.0158,0.9833,0.5,0.4975,0.0995,2.58898,2.29323,1.56778,0.00289,0.000813536,0.000813536,0.000813536
10,71.8193,1.64817,1.82555,1.58324,0.02532,0.98186,0.5,0.4975,0.14925,2.1102,1.77202,1.16431,0.00127,0.000895897,0.000895897,0.000895897
11,83.5384,1.47009,1.66359,1.72878,0.02158,0.98186,0.5,0.4975,0.14925,2.1102,1.77202,1.16431,0.00127,0.000976279,0.000976279,0.000976279
12,87.7831,1.50719,1.68726,1.79389,0.03223,0.98268,0.5,0.4975,0.24875,2.05244,1.99938,1.16242,0.00177,0.00105468,0.00105468,0.00105468
13,98.9912,1.57505,1.59519,1.73223,0.01942,0.98268,0.5,0.4975,0.24875,2.05244,1.99938,1.16242,0.00177,0.0011311,0.0011311,0.0011311
14,105.134,1.66611,1.59558,1.79712,0.01417,0.98268,0.5,0.4975,0.24875,2.05244,1.99938,1.16242,0.00177,0.00120554,0.00120554,0.00120554
15,109.772,1.57535,1.46544,1.6794,0.01341,0.98382,0.5,0.4975,0.2985,2.35684,2.44957,1.32985,0.00247,0.001278,0.001278,0.001278
16,116.781,1.50034,1.51938,1.62152,0.02668,0.98382,0.5,0.4975,0.2985,2.35684,2.44957,1.32985,0.00247,0.00134848,0.00134848,0.00134848
17,138.718,1.57525,1.52696,1.75369,0.02307,0.98249,0.5,0.4975,0.2985,2.25804,2.06611,1.41357,0.00202,0.00140295,0.00140295,0.00140295
18,146.742,1.37182,1.2601,1.52879,0.02246,0.98249,0.5,0.4975,0.2985,2.25804,2.06611,1.41357,0.00202,0.00138644,0.00138644,0.00138644
19,154.098,1.45584,1.36236,1.52417,0.02607,0.98249,0.5,0.4975,0.2985,2.25804,2.06611,1.41357,0.00202,0.00136994,0.00136994,0.00136994
20,168.878,1.47374,1.44695,1.65147,0.05139,0.98192,0.5,0.4975,0.2985,2.32231,1.68989,1.481,0.00692,0.00135344,0.00135344,0.00135344
21,176.428,1.56662,1.30844,1.64273,0.0189,0.98192,0.5,0.4975,0.2985,2.32231,1.68989,1.481,0.00692,0.00133693,0.00133693,0.00133693
22,191.676,1.48226,1.24574,1.61438,0.02364,0.98192,0.5,0.4975,0.2985,2.32231,1.68989,1.481,0.00692,0.00132043,0.00132043,0.00132043
23,198.236,1.20589,1.11632,1.45559,0.00771,0.98336,0.5,0.4975,0.34825,2.45022,1.76803,1.3827,0.00963,0.00130393,0.00130393,0.00130393
24,205.901,1.36009,1.25763,1.49172,0.02109,0.98336,0.5,0.4975,0.34825,2.45022,1.76803,1.3827,0.00963,0.00128742,0.00128742,0.00128742
25,229.455,1.1422,1.09335,1.38681,0.01527,0.98447,0.5,0.4975,0.34825,2.22227,1.63276,1.31699,0.01088,0.00127092,0.00127092,0.00127092
26,236.846,1.17609,1.12712,1.36626,0.01014,0.98447,0.5,0.4975,0.34825,2.22227,1.63276,1.31699,0.01088,0.00125442,0.00125442,0.00125442
27,253.187,1.22273,1.17057,1.53053,0.03578,0.98447,0.5,0.4975,0.34825,2.22227,1.63276,1.31699,0.01088,0.00123791,0.00123791,0.00123791
28,262.14,1.2914,1.09379,1.50027,0.00716,0.98491,0.5,0.4975,0.2985,2.21202,1.44542,1.3209,0.01044,0.00122141,0.00122141,0.00122141
29,272.348,1.30085,1.09384,1.54266,0.01487,0.98491,0.5,0.4975,0.2985,2.21202,1.44542,1.3209,0.01044,0.00120491,0.00120491,0.00120491
30,276.791,1.20859,1.06824,1.43286,0.02334,0.98491,0.5,0.4975,0.2985,2.21202,1.44542,1.3209,0.01044,0.0011884,0.0011884,0.0011884
31,280.824,1.26884,1.12255,1.60691,0.00764,0.98431,0.5,0.4975,0.2985,2.29871,1.42755,1.51413,0.00836,0.0011719,0.0011719,0.0011719
32,293.047,1.03601,0.96697,1.54896,0.01439,0.98431,0.5,0.4975,0.2985,2.29871,1.42755,1.51413,0.00836,0.0011554,0.0011554,0.0011554
33,297.054,1.3577,1.15292,1.66657,0.01336,0.98272,0.5,0.4975,0.34825,2.26761,1.31801,1.74686,0.00625,0.00113889,0.00113889,0.00113889
34,304.575,1.17329,1.05199,1.65947,0.02752,0.98272,0.5,0.4975,0.34825,2.26761,1.31801,1.74686,0.00625,0.00112239,0.00112239,0.00112239
