calibration_video_file_name,who_digitized,date_digitized,distance_pixels,known_distance_mm,pixels_per_mm,notes,Instructions
cali_c5_15Oct2025,Joseph,03Mar2026,731.0063,60,12.1834,,Drag & drop .avi cali file into ImageJ > Ok
cali_c3_15Oct2025,Joseph,03Mar2026,565.0599,80,7.0632,,"Using the line tool, drag the longest line possible across the ruler. Use the side of the ruler that has the small 0.5 mm tick marks. The longer the distance of the line, the less error"
cali_c2_15Oct2025,Joseph,03Mar2026,570.5332,80,7.1317,,"Use Ctrl+""plus"" and Ctrl+""minus"" to zoom in and out"
cali_c1_15Oct2025,Joseph,03Mar2026,500.0577,70,7.1437,,"Get the exact distance; if you put the line starting on the right side of the black tick mark, then make sure the line ends on the right side of the black tick mark"
cali_c1_12Oct2025,Joseph,03Mar2026,717.9865,70,10.2570,,Analyze > Set scale > Copy & Paste the distance in pixels into the spreadsheet
cali_c2_11Oct2025,Joseph,03Mar2026,615.0329,80,7.6879,,"Count how many mm the line covers; enter into spreadsheet (I like to choose round distances, like 50, 60, 70 mm so I don't have any human math/counting errors) "
cali_c1_11Oct2025,Joseph,03Mar2026,853.2414,90,9.4805,,"Exit out of the ""set scale"" window by hitting ""cancel."" Exit out of the video. Load a new video."
cali_c6_06Oct2025,Joseph,03Mar2026,547.0312,70,7.8147,,
cali_c5_06Oct2025,Joseph,03Mar2026,493.0010,50,9.8600,,
cali_c4_06Oct2025,Joseph,03Mar2026,564.0081,50,11.2802,,
cali_c2_06Oct2025,Joseph,03Mar2026,500.0821,50,10.0016,,
cali_c1_06Oct2025,Joseph,03Mar2026,520.9725,50,10.4195,,
cali_c12_05Oct2025,Joseph,03Mar2026,556.5590,60,9.2760,,
cali_c10_05Oct2025,Joseph,03Mar2026,555.2908,60,9.2548,,
cali_c9_05Oct2025,Joseph,03Mar2026,562.0916,40,14.0523,,
cali_c8_05Oct2025,Joseph,03Mar2026,420.0108,30,14.0004,,
cali_c7_05Oct2025,Joseph,03Mar2026,727.0142,100,7.2701,,
cali_c6_05Oct2025,Joseph,03Mar2026,809.0576,110,7.3551,,
cali_c5_05Oct2025,Joseph,03Mar2026,720.9718,100,7.2097,,
cali_c4_05Oct2025,Joseph,03Mar2026,788.0027,110,7.1637,,
cali_c3_05Oct2025,Joseph,03Mar2026,788.0860,110,7.1644,,
cali_c2_05Oct2025,Joseph,03Mar2026,632.0486,70,9.0293,,
cali_c1_05Oct2025,Joseph,03Mar2026,363.0015,40,9.0750,,
cali_c3_04Oct2025,Joseph,03Mar2026,753.0877,30,25.1029,,
cali_c2_04Oct2025,Joseph,03Mar2026,238.8773,9.5,25.1450,Baby cali. ,
cali_c2_01Oct2025,Joseph,03Mar2026,860.1305,90,9.5570,,
cali_c1_01Oct2025,Joseph,03Mar2026,881.2083,80,11.0151,,
cali_c1_30Sept2025,,,,,,,
cali_c5_28Sept2025,,,,,,,
cali_c4_28Sept2025,,,,,,,
cali_c3_28Sept2025,,,,,,,
cali_c2_28Sept2025,,,,,,,
cali_c1_28Sept2025,,,,,,,
cali_c6_27Sept2025,,,,,,,
cali_c5_27Sept2025,,,,,,,
cali_c4_27Sept2025,,,,,,,
cali_c3_27Sept2025,,,,,,,
cali_c2_27Sept2025,,,,,,,
cali_c1_27Sept2025,,,,,,,
cali_c6_25Sept2025,,,,,,,
cali_c4_25Sept2025,,,,,,,
cali_c3_25Sept2025,,,,,,,
cali_c1_25Sept2025,,,,,,,
cali_c5_23Sept2025,,,,,,,
cali_c4_23Sept2025,,,,,,,
cali_c3_23Sept2025,,,,,,,
cali_c2_23Sept2025,,,,,,,
cali_c1_23Sept2025,,,,,,,
cali_c1_22Sept2025,,,,,,,
cali_c3_21Sept2025,,,,,,,
cali_c2_21Sept2025,,,,,,,
cali_c6_20Sept2025,,,,,,,
cali_c5_20Sept2025,,,,,,,
cali_c4_20Sept2025,,,,,,,
cali_c3_20Sept2025,,,,,,,
cali_c2_20Sept2025,,,,,,,
cali_c1_20Sept2025,,,,,,,
cali_c3_18Sept2025,,,,,,,
cali_c2_18Sept2025,,,,,,,
cali_c1_21Sept2025,,,,,,,
cali_c1_27Oct2025,,,,,,,
cali_c1_29Oct2025,,,,,,,
cali_c1_31Oct2025,,,,,,,
cali_c2_27Oct2025,,,,,,,
cali_c2_29Oct2025,,,,,,,
cali_c2_31Oct2025,,,,,,,
cali_c3_29Oct2025,,,,,,,
cali_c1_02Nov2025,,,,,,,
cali_c2_02Nov2025,,,,,,,
cali_c3_02Nov2025,,,,,,,
cali_c4_02Nov2025,,,,,,,
cali_c5_02Nov2025,,,,,,,
cali_c1_03Nov2025,,,,,,,
cali_c2_03Nov2025,,,,,,,
cali_c1_04Nov2025,,,,,,,
cali_c1_06Nov2025,,,,,,,
cali_c2_06Nov2025,,,,,,,
cali_c3_06Nov2025,,,,,,,
cali_c1_12Nov2025,,,,,,,
cali_c2_12Nov2025,,,,,,,
cali_c3_12Nov2025,,,,,,,
cali_c4_12Nov2025,,,,,,,
cali_c1_12Jan2026,"Sophie, Joseph",25Feb2026,450.0324,60.0,7.5005,,
cali_c2_12Jan2026,Joseph ,25Feb2026,502.0000,70.0,7.1714,,
cali_c3_12Jan2026,Joseph ,25Feb2026,645.0199,90.0,7.1669,,
cali_c4_12Jan2026,Joseph ,25Feb2026,675.3958,70.0,9.6485,,
cali_c1_26Jan2026,Joseph ,25Feb2026,866.9797,90.0,9.6331,,
cali_c1_28Jan2026,Joseph ,25Feb2026,380.0312,40.0,9.5008,,
cali_c2_28Jan2026,Joseph ,25Feb2026,559.1738,70.0,7.9882,,
cali_c3_28Jan2026,Joseph ,25Feb2026,722.0652,120.0,6.0172,,
cali_c1_02Feb2026,Joseph ,25Feb2026,300.9703,50.0,6.0194,,
cali_c2_02Feb2026,Joseph ,25Feb2026,485.0720,80.0,6.0634,,
cali_c3_02Feb2026,,,,,,,
cali_c4_02Feb2026,,,,,,,
cali_c1_04Feb2026,,,,,,,
cali_c1_09Feb2026,,,,,,,
cali_c1_11Feb2026,,,,,,,
cali_c2_11Feb2026,,,,,,,
cali_c1_12Feb2026,,,,,,,
cali_c2_12Feb2026,,,,,,,
cali_c1_19Feb2026,,,,,,,
cali_c1_23Feb2026,,,,,,,
cali_c1_24Feb2026,,,,,,,
cali_c2_24Feb2026,,,,,,,
cali_c1_25Feb2026,,,,,,,
cali_c1_25Feb2026,,,,,,,
cali_c1_27Feb2026,,,,,,,
cali_c1_02Mar2026,,,,,,,
cali_c2_02Mar2026,,,,,,,
cali_c1_03Mar2026,,,,,,,
cali_c1_04Mar2026,Joseph,07Apr2026,489.0040,70,6.9858,,
cali_c2_04Mar2026,Joseph,07Apr2026,829.9784,120,6.9165,,
cali_c1_09Mar2026,Joseph,07Apr2026,421.0013,60,7.0167,,
cali_c1_10Mar2026,Joseph,07Apr2026,651.1458,90,7.2350,,
cali_c2_10Mar2026,Joseph,07Apr2026,491.2680,70,7.0181,,
cali_c1_11Mar2026,Joseph,07Apr2026,766.1277,110,6.9648,,
cali_c2_11Mar2026,Joseph,07Apr2026,584.9618,80,7.3120,,
cali_c1_16Mar2026,,,,,,,
cali_c2_16Mar2026,,,,,,,
cali_c3_16Mar2026,,,,,,,
cali_c4_16Mar2026,,,,,,,
cali_c5_16Mar2026,,,,,,,
cali_c1_17Mar2026,,,,,,,
cali_c1_18Mar2026,,,,,,,
cali_c1_30Mar2026,,,,,,,
cali_c1_31Mar2026,,,,,,,
cali_c2_31Mar2026,,,,,,,
cali_c1_01Apr2026,,,,,,,
cali_c2_01Apr2026,,,,,,,
cali_c3_01Apr2026,,,,,,,
