calibration_video_file_name,who_digitized,date_digitized,distance_pixels,known_distance_mm,pixels_per_mm,notes,Instructions
cali_c5_15Oct2025,Zephyr,04Mar2026,851.9671,70,12.1710,,Drag & drop .avi cali file into ImageJ > Ok
cali_c3_15Oct2025,Zephyr,04Mar2026,637.0917,90,7.0788,,"Using the line tool, drag the longest line possible across the ruler. Use the side of the ruler that has the small 0.5 mm tick marks. The longer the distance of the line, the less error"
cali_c2_15Oct2025,Zephyr,04Mar2026,641.9278,90,7.1325,,"Use Ctrl+""plus"" and Ctrl+""minus"" to zoom in and out"
cali_c1_15Oct2025,Zephyr,04Mar2026,572.0393,80,7.1505,,"Get the exact distance; if you put the line starting on the right side of the black tick mark, then make sure the line ends on the right side of the black tick mark"
cali_c1_12Oct2025,Zephyr,04Mar2026,822.0159,80,10.2752,,Analyze > Set scale > Copy & Paste the distance in pixels into the spreadsheet
cali_c2_11Oct2025,Zephyr,04Mar2026,689.9038,90,7.6656,,"Count how many mm the line covers; enter into spreadsheet (I like to choose round distances, like 50, 60, 70 mm so I don't have any human math/counting errors) "
cali_c1_11Oct2025,Zephyr,04Mar2026,949.2004,100,9.4920,,"Exit out of the ""set scale"" window by hitting ""cancel."" Exit out of the video. Load a new video."
cali_c6_06Oct2025,Zephyr,04Mar2026,545.9904,70,7.7999,,
cali_c5_06Oct2025,Zephyr,04Mar2026,591.0009,60,9.8500,,
cali_c4_06Oct2025,Zephyr,04Mar2026,677.0068,60,11.2834,,
cali_c2_06Oct2025,Zephyr,04Mar2026,600.0378,60,10.0006,,
cali_c1_06Oct2025,Zephyr,04Mar2026,624.9408,60,10.4157,had to use bigger marks because top is a tiny bit cut off,
cali_c12_05Oct2025,Zephyr,04Mar2026,650.0377,70,9.2863,,
cali_c10_05Oct2025,Zephyr,04Mar2026,646.4349,70,9.2348,,
cali_c9_05Oct2025,Zephyr,11Mar2026,562.0077,40,14.0502,,
cali_c8_05Oct2025,Zephyr,11Mar2026,546.0769,40,13.6519,had to use bigger marks because top is a tiny bit cut off,
cali_c7_05Oct2025,Zephyr,11Mar2026,726.9616,100,7.2696,,
cali_c6_05Oct2025,Zephyr,11Mar2026,881.9894,120,7.3499,,
cali_c5_05Oct2025,Zephyr,11Mar2026,792.0095,110,7.2001,,
cali_c4_05Oct2025,Zephyr,11Mar2026,860.8444,120,7.1737,,
cali_c3_05Oct2025,Zephyr,11Mar2026,859.9712,120,7.1664,,
cali_c2_05Oct2025,Zephyr,11Mar2026,722.0423,80,9.0255,,
cali_c1_05Oct2025,Zephyr,11Mar2026,452.0044,50,9.0401,,
cali_c3_04Oct2025,Zephyr,11Mar2026,879.0358,35,25.1153,,
cali_c2_04Oct2025,Zephyr,11Mar2026,185.0046,7,26.4292,was vertical between the platforms?? very short distance,
cali_c2_01Oct2025,Zephyr,11Mar2026,763.0419,80,9.5380,,
cali_c1_01Oct2025,Zephyr,11Mar2026,770.1161,70,11.0017,,
cali_c1_30Sept2025,Zephyr,11Mar2026,721.9693,90,8.0219,,
cali_c5_28Sept2025,Zephyr,11Mar2026,648.0371,120,5.4003,,
cali_c4_28Sept2025,Zephyr,11Mar2026,745.2372,130,5.7326,,
cali_c3_28Sept2025,Zephyr,11Mar2026,687.0030,110,6.2455,,
cali_c2_28Sept2025,Zephyr,11Mar2026,560.9696,90,6.2330,,
cali_c1_28Sept2025,Zephyr,11Mar2026,498.9375,80,6.2367,,
cali_c6_27Sept2025,Zephyr,11Mar2026,931.0341,70,13.3005,,
cali_c5_27Sept2025,Zephyr,11Mar2026,414.5026,15,27.6335,,
cali_c4_27Sept2025,Zephyr,11Mar2026,225.4634,8,28.1829,was vertical between the platforms?? very short distance,
cali_c3_27Sept2025,Zephyr,18Mar2026,206.1088,8,25.7636,,
cali_c2_27Sept2025,Zephyr,18Mar2026,563.2938,24,23.4706,,
cali_c1_27Sept2025,Zephyr,18Mar2026,607.8961,70,8.6842,,
cali_c6_25Sept2025,Zephyr,18Mar2026,443.0716,50,8.8614,,
cali_c4_25Sept2025,,,,,,not on flash (i can't tell which one im working on rn),
cali_c3_25Sept2025,,,,,,,
cali_c1_25Sept2025,,,,,,,
cali_c5_23Sept2025,Zephyr,18Mar2026,312.1914,60,5.2032,,
cali_c4_23Sept2025,Zephyr,18Mar2026,395.9512,70,5.6564,,
cali_c3_23Sept2025,Zephyr,18Mar2026,838.0319,100,8.3803,,
cali_c2_23Sept2025,Zephyr,18Mar2026,930.9818,90,10.3442,,
cali_c1_23Sept2025,Zephyr,18Mar2026,767.9785,120,6.3998,,
cali_c1_22Sept2025,Zephyr,18Mar2026,835.0024,130,6.4231,,
cali_c3_21Sept2025,Zephyr,18Mar2026,763.9457,120,6.3662,,
cali_c2_21Sept2025,Zephyr,18Mar2026,868.1547,110,7.8923,,
cali_c1_21Sept2025,Zephyr,18Mar2026,877.0402,100,8.7704,,
