calibration_video_file_name,who_digitized,date_digitized,distance_pixels,known_distance_mm,pixels_per_mm,notes,Instructions
cali_c5_15Oct2025,Elise ,02Mar2026,852.5403,70.0,12.1791,,Drag & drop .avi cali file into ImageJ > Ok
cali_c3_15Oct2025,Elise,02Mar2026,636.9445,90.0,7.0772,,"Using the line tool, drag the longest line possible across the ruler. Use the side of the ruler that has the small 0.5 mm tick marks. The longer the distance of the line, the less error"
cali_c2_15Oct2025,Elise,02Mar2026,642.0321,90.0,7.1337,,"Use Ctrl+""plus"" and Ctrl+""minus"" to zoom in and out"
cali_c1_15Oct2025,Elise,02Mar2026,600.9449,84.0,7.1541,,"Get the exact distance; if you put the line starting on the right side of the black tick mark, then make sure the line ends on the right side of the black tick mark"
cali_c1_12Oct2025,Elise,02Mar2026,821.0367,80.0,10.2630,,Analyze > Set scale > Copy & Paste the distance in pixels into the spreadsheet
cali_c2_11Oct2025,Elise,02Mar2026,231.0120,30.0,7.7004,,"Count how many mm the line covers; enter into spreadsheet (I like to choose round distances, like 50, 60, 70 mm so I don't have any human math/counting errors) "
cali_c1_11Oct2025,Elise,09Mar2026,759.2519,80,9.4906,,"Exit out of the ""set scale"" window by hitting ""cancel."" Exit out of the video. Load a new video."
cali_c6_06Oct2025,Elise,09Mar2026,590.8969,60,9.8483,,
cali_c5_06Oct2025,Elise,09Mar2026,590.9400,60,9.8490,,
cali_c4_06Oct2025,Elise,09Mar2026,564.0501,50,11.2810,,
cali_c2_06Oct2025,Elise,09Mar2026,501.2092,50,10.0242,,
cali_c1_06Oct2025,Elise,09Mar2026,623.9271,60,10.3988,,
cali_c12_05Oct2025,Elise,09Mar2026,464.0490,50,9.2810,,
cali_c10_05Oct2025,Elise,09Mar2026,646.2327,70,9.2319,blurry on top ,
cali_c9_05Oct2025,Elise,09Mar2026,631.8409,45,14.0409,,
cali_c8_05Oct2025,Elise,09Mar2026,560.0000,40,14.0000,,
cali_c7_05Oct2025,Elise,09Mar2026,581.0714,80,7.2634,,
cali_c6_05Oct2025,,,,,#DIV/0!,,
cali_c5_05Oct2025,,,,,#DIV/0!,,
cali_c4_05Oct2025,,,,,#DIV/0!,,
cali_c3_05Oct2025,,,,,#DIV/0!,,
cali_c2_05Oct2025,,,,,#DIV/0!,,
cali_c1_05Oct2025,,,,,#DIV/0!,,
cali_c3_04Oct2025,,,,,#DIV/0!,,
cali_c2_04Oct2025,,,,,#DIV/0!,,
cali_c2_01Oct2025,Elise,30Mar2026,955.1314,100,9.5513,,
cali_c1_01Oct2025,Elise,30Mar2026,936.6682,85,11.0196,,
cali_c1_30Sept2025,Elise,30Mar2026,722.0862,90,8.0232,,
cali_c5_28Sept2025,Elise,30Mar2026,675.1972,125,5.4016,,
cali_c4_28Sept2025,Elise,30Mar2026,773.5328,135,5.7299,,
cali_c3_28Sept2025,Elise,30Mar2026,687.2524,110,6.2477,,
cali_c2_28Sept2025,Elise,30Mar2026,560.8344,90,6.2315,,
cali_c1_28Sept2025,Elise,30Mar2026,467.8752,75,6.2383,,
cali_c6_27Sept2025,Elise,30Mar2026,931.2148,70,13.3031,,
cali_c5_27Sept2025,Elise,30Mar2026,498.0450,18,27.6692,,
cali_c4_27Sept2025,Elise,30Mar2026,192.8524,7,27.5503,vertical ruler ,
cali_c3_27Sept2025,Elise,30Mar2026,208.5180,8,26.0648,vertical ruler ,
cali_c2_27Sept2025,Elise,30Mar2026,540.5943,24,22.5248,no numbers visible on the ruler ,
cali_c1_27Sept2025,Elise,30Mar2026,564.1440,65,8.6791,,
cali_c6_25Sept2025,Elise,30Mar2026,443.5693,50,8.8714,,
cali_c4_25Sept2025,,,,,#DIV/0!,,
cali_c3_25Sept2025,,,,,#DIV/0!,,
cali_c1_25Sept2025,,,,,#DIV/0!,,
cali_c5_23Sept2025,,,,,#DIV/0!,,
cali_c4_23Sept2025,,,,,#DIV/0!,,
cali_c3_23Sept2025,,,,,#DIV/0!,,
cali_c2_23Sept2025,,,,,#DIV/0!,,
cali_c1_23Sept2025,,,,,#DIV/0!,,
cali_c1_22Sept2025,,,,,#DIV/0!,,
cali_c3_21Sept2025,,,,,#DIV/0!,,
cali_c2_21Sept2025,,,,,#DIV/0!,,
cali_c6_20Sept2025,,,,,#DIV/0!,,
cali_c5_20Sept2025,,,,,#DIV/0!,,
cali_c4_20Sept2025,,,,,#DIV/0!,,
cali_c3_20Sept2025,,,,,#DIV/0!,,
cali_c2_20Sept2025,,,,,#DIV/0!,,
cali_c1_20Sept2025,,,,,#DIV/0!,,
cali_c3_18Sept2025,,,,,#DIV/0!,,
cali_c2_18Sept2025,,,,,#DIV/0!,,
cali_c1_21Sept2025,,,,,#DIV/0!,,
cali_c1_27Oct2025,,,,,#DIV/0!,,
cali_c1_29Oct2025,,,,,#DIV/0!,,
cali_c1_31Oct2025,,,,,#DIV/0!,,
cali_c2_27Oct2025,,,,,#DIV/0!,,
cali_c2_29Oct2025,,,,,#DIV/0!,,
cali_c2_31Oct2025,,,,,#DIV/0!,,
cali_c3_29Oct2025,,,,,#DIV/0!,,
cali_c1_02Nov2025,,,,,#DIV/0!,,
cali_c2_02Nov2025,,,,,#DIV/0!,,
cali_c3_02Nov2025,,,,,#DIV/0!,,
cali_c4_02Nov2025,,,,,#DIV/0!,,
cali_c5_02Nov2025,,,,,#DIV/0!,,
cali_c1_03Nov2025,Elise,05May2026,206.1296,11,18.7391,,
cali_c2_03Nov2025,Elise,05May2026,593.1230,40,14.8281,,
cali_c1_04Nov2025,Elise,05May2026,600.1667,75,8.0022,,
cali_c1_06Nov2025,Elise,05May2026,737.1944,65,11.3415,,
cali_c2_06Nov2025,Elise,05May2026,696.0909,75,9.2812,,
cali_c3_06Nov2025,Elise,05May2026,842.0106,75,11.2268,,
cali_c1_12Nov2025,Elise,05May2026,503.2604,45,11.1836,,
cali_c2_12Nov2025,Elise,05May2026,213.0833,13,16.3910,,
cali_c3_12Nov2025,Elise,05May2026,378.6875,20,18.9344,,
cali_c4_12Nov2025,Elise,05May2026,833.4818,30,27.7827,whole ruler is super dark ,
cali_c1_12Jan2026,Elise,05May2026,449.8763,60,7.4979,,
cali_c2_12Jan2026,Elise,05May2026,430.0209,60,7.1670,,
cali_c3_12Jan2026,Elise,05May2026,572.8467,80,7.1606,,
cali_c4_12Jan2026,Elise,05May2026,676.4385,70,9.6634,,
cali_c1_26Jan2026,Elise,05May2026,865.8770,90,9.6209,,
cali_c1_28Jan2026,Elise,05May2026,428.1047,45,9.5134,,
cali_c2_28Jan2026,Elise,05May2026,399.2218,50,7.9844,,
cali_c3_28Jan2026,Elise,05May2026,662.0850,110,6.0190,,
cali_c1_02Feb2026,,,,,#DIV/0!,,
cali_c2_02Feb2026,,,,,#DIV/0!,,
cali_c3_02Feb2026,,,,,#DIV/0!,,
cali_c4_02Feb2026,,,,,#DIV/0!,,
cali_c1_04Feb2026,,,,,#DIV/0!,,
cali_c1_09Feb2026,,,,,#DIV/0!,,
cali_c1_11Feb2026,,,,,#DIV/0!,,
cali_c2_11Feb2026,,,,,#DIV/0!,,
cali_c1_12Feb2026,"Elise, Sophie",02Mar2026,559.5586,70.0,7.9937,,
cali_c2_12Feb2026,,,,,#DIV/0!,,
cali_c1_19Feb2026,,,,,#DIV/0!,,
cali_c1_23Feb2026,,,,,#DIV/0!,,
cali_c1_24Feb2026,,,,,#DIV/0!,,
cali_c2_24Feb2026,,,,,#DIV/0!,,
cali_c1_25Feb2026,,,,,#DIV/0!,,
cali_c1_25Feb2026,,,,,#DIV/0!,,
cali_c1_27Feb2026,,,,,#DIV/0!,,
cali_c1_02Mar2026,,,,,#DIV/0!,,
cali_c2_02Mar2026,,,,,#DIV/0!,,
cali_c1_03Mar2026,,,,,#DIV/0!,,
cali_c1_04Mar2026,,,,,#DIV/0!,,
cali_c2_04Mar2026,,,,,#DIV/0!,,
cali_c1_09Mar2026,,,,,,,
cali_c1_10Mar2026,,,,,,,
cali_c2_10Mar2026,,,,,,,
cali_c1_11Mar2026,,,,,,,
cali_c2_11Mar2026,,,,,,,
cali_c1_16Mar2026,,,,,,,
cali_c2_16Mar2026,,,,,,,
cali_c3_16Mar2026,,,,,,,
cali_c4_16Mar2026,,,,,,,
cali_c5_16Mar2026,,,,,,,
cali_c1_17Mar2026,,,,,,,
cali_c1_18Mar2026,,,,,,,
cali_c1_30Mar2026,,,,,,,
cali_c1_31Mar2026,,,,,,,
cali_c2_31Mar2026,,,,,,,
