calibration_video_file_name,who_digitized,distance_pixels,known_distance_mm,pixels_per_mm,notes
cali_c5_15Oct2025,Sophie,852.3427,70,12.1763,
cali_c3_15Oct2025,Sophie,637.1876,90,7.0799,
cali_c2_15Oct2025,Sophie,642.1251,90,7.1347,
cali_c1_15Oct2025,Sophie,501.004,70,7.1572,
cali_c1_12Oct2025,Sophie,719.0954,70,10.2728,
cali_c2_11Oct2025,Sophie,384.0692,50,7.6814,
cali_c1_11Oct2025,Sophie,759.1686,80,9.4896,
cali_c6_06Oct2025,Sophie,546.125,70,7.8018,
cali_c5_06Oct2025,Sophie,591.0007,60,9.85,
cali_c4_06Oct2025,Sophie,677.0066,60,11.2834,
cali_c2_06Oct2025,Sophie,600.1919,60,10.0032,
cali_c1_06Oct2025,Sophie,624.505,60,10.4084,
cali_c12_05Oct2025,Sophie,650.0075,70,9.2858,
cali_c10_05Oct2025,Sophie,647.2892,70,9.247,
cali_c9_05Oct2025,Sophie,632.0334,45,14.0452,
cali_c8_05Oct2025,Sophie,560.0247,40,14.0006,
cali_c7_05Oct2025,Sophie,654.069,90,7.2674,
cali_c6_05Oct2025,Sophie,808.0782,110,7.3462,
cali_c5_05Oct2025,Sophie,792.0404,110,7.2004,
cali_c4_05Oct2025,Sophie,715.0445,100,7.1504,
cali_c3_05Oct2025,Sophie,788.0026,110,7.1637,
cali_c2_05Oct2025,Sophie,541.0036,60,9.0167,
cali_c1_05Oct2025,Sophie,498.0039,55,9.0546,
cali_c3_04Oct2025,Sophie,879.9527,35,25.1415,
cali_c2_04Oct2025,Sophie,212.0649,8,26.5081,
cali_c2_01Oct2025,Sophie,858.9948,90,9.5444,
cali_c1_01Oct2025,Sophie,881.146,80,11.0143,
cali_c1_30Sept2025,Sophie,722.0028,90,8.0223,
cali_c5_28Sept2025,Sophie,648.0591,120,5.4005,
cali_c4_28Sept2025,Sophie,688.2699,120,5.7356,
cali_c3_28Sept2025,Sophie,687.0342,110,6.2458,
cali_c2_28Sept2025,Sophie,561.0321,90,6.2337,
cali_c1_28Sept2025,Sophie,437.0324,70,6.2433,
cali_c6_27Sept2025,Sophie,931.0787,70,13.3011,
cali_c5_27Sept2025,Sophie,497.6458,18,27.647,
cali_c4_27Sept2025,Sophie,234.4188,8.5,27.5787,
cali_c3_27Sept2025,Sophie,206.9913,8,25.8739,
cali_c2_27Sept2025,Sophie,540.2809,23,23.4905,
cali_c1_27Sept2025,Sophie,607.0203,70,8.6717,
