epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,16.3663,1.59973,2.06855,2.16512,0.0289,0.95391,1,0.995,0.6965,0.71199,1.48837,1.4846,0.00066,0.00064,0.00064,0.00064
2,32.2329,0.89396,1.1504,1.50338,0.00194,0.95436,1,0.995,0.796,0.7089,0.97208,1.57096,0.00141,0.00128713,0.00128713,0.00128713
3,47.9941,0.90373,0.93835,1.53964,0.00415,0.95726,1,0.995,0.6965,0.92742,3.95731,1.8008,0.00287,0.00192119,0.00192119,0.00192119
4,63.8164,0.88154,0.87538,1.4434,0.00554,0.8401,1,0.995,0.6965,0.89906,1.97737,1.57518,0.00524,0.0019406,0.0019406,0.0019406
5,79.7315,0.89622,0.89516,1.40298,0.00598,0.96652,1,0.995,0.6965,1.00548,0.85536,1.85279,0.00096,0.0019208,0.0019208,0.0019208
6,95.2117,0.77523,0.7696,1.33755,0.00335,0.96948,1,0.995,0.796,0.81553,1.31409,1.59609,0.0011,0.001901,0.001901,0.001901
7,110.881,0.71921,0.72212,1.3326,0.00223,0.55603,1,0.995,0.8955,0.40712,1.25258,1.11468,0.00075,0.0018812,0.0018812,0.0018812
8,126.577,0.69043,0.66595,1.30962,0.00179,0.97173,1,0.995,0.8955,0.86538,0.91133,1.60677,0.00049,0.0018614,0.0018614,0.0018614
9,142.312,0.60624,0.63085,1.26404,0.00171,0.97315,1,0.995,0.8955,0.62396,0.48167,1.25545,8e-05,0.0018416,0.0018416,0.0018416
10,157.975,0.60736,0.60296,1.26007,0.00226,0.97149,1,0.995,0.995,0.4031,0.48847,1.13511,0.0003,0.0018218,0.0018218,0.0018218
11,173.779,0.57871,0.58619,1.20596,0.00182,0.96478,1,0.995,0.995,0.34064,0.49213,1.02119,0.00031,0.001802,0.001802,0.001802
12,189.481,0.56923,0.60167,1.25516,0.00138,0.96645,1,0.995,0.995,0.37687,0.55923,1.0507,2e-05,0.0017822,0.0017822,0.0017822
13,205.164,0.58667,0.59513,1.24536,0.00197,0.94722,1,0.995,0.995,0.26359,0.90988,1.1417,0.00011,0.0017624,0.0017624,0.0017624
14,220.831,0.50414,0.52891,1.11064,0.00127,0.96413,1,0.995,0.995,0.2532,0.48903,0.98995,5e-05,0.0017426,0.0017426,0.0017426
15,236.562,0.50911,0.50589,1.15569,0.00163,0.97119,1,0.995,0.995,0.27813,0.34287,0.92311,0.00033,0.0017228,0.0017228,0.0017228
16,252.276,0.46996,0.46696,1.12911,0.00131,0.97095,1,0.995,0.995,0.36117,0.49609,1.10631,5e-05,0.001703,0.001703,0.001703
17,268.231,0.49273,0.48875,1.16507,0.00144,0.96953,1,0.995,0.995,0.30927,0.46155,0.98403,0.00024,0.0016832,0.0016832,0.0016832
18,284.149,0.4956,0.49314,1.17889,0.00196,0.96078,1,0.995,0.995,0.29426,0.46745,0.93428,0.00038,0.0016634,0.0016634,0.0016634
19,300.05,0.47766,0.47435,1.13292,0.00175,0.96311,1,0.995,0.8955,0.45027,0.54825,1.26043,0.00021,0.0016436,0.0016436,0.0016436
20,315.698,0.46384,0.44696,1.10456,0.00161,0.97305,1,0.995,0.995,0.26891,0.35005,0.96137,1e-05,0.0016238,0.0016238,0.0016238
21,331.497,0.45827,0.44146,1.14819,0.00126,0.97378,1,0.995,0.995,0.2592,0.34039,0.94702,5e-05,0.001604,0.001604,0.001604
22,347.226,0.49152,0.47205,1.14705,0.00129,0.95778,1,0.995,0.8955,0.50232,0.54203,1.35485,1e-05,0.0015842,0.0015842,0.0015842
23,362.83,0.4769,0.45884,1.1451,0.00158,0.95278,1,0.995,0.995,0.27094,0.5145,1.0555,4e-05,0.0015644,0.0015644,0.0015644
24,378.28,0.45058,0.43983,1.10794,0.00133,0.9682,1,0.995,0.995,0.34757,0.42787,1.02432,0.00054,0.0015446,0.0015446,0.0015446
25,394.026,0.47248,0.46077,1.16503,0.00156,0.97113,1,0.995,0.995,0.21489,0.38565,0.92719,0.00035,0.0015248,0.0015248,0.0015248
26,409.933,0.45467,0.43301,1.12304,0.00135,0.95257,1,0.995,0.995,0.22861,0.38615,0.80115,0.00073,0.001505,0.001505,0.001505
27,425.686,0.4834,0.44142,1.13859,0.00123,0.95026,1,0.995,0.995,0.1758,0.37366,0.7678,0.00034,0.0014852,0.0014852,0.0014852
