epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.5734,0,55.3312,0,0,0,0,0,0,2.32355,0,0.00032,0.00032,0.00032
2,26.6822,0,45.4773,0,0,0,0,0,0,2.1171,0,0.000656733,0.000656733,0.000656733
3,40.6912,0,40.0822,0,0,0,0,0,0,1.66185,0,0.0009901,0.0009901,0.0009901
4,55.0038,0,36.1033,0,0,0,0,0,0,1.34452,0,0.0013201,0.0013201,0.0013201
5,68.6703,0,34.4476,0,0,0,0,0,0,1.13789,0,0.00164674,0.00164674,0.00164674
6,81.9531,0,31.7222,0,0,0,0,0,0,1.07401,0,0.0019505,0.0019505,0.0019505
7,95.5045,0,29.7444,0,0,0,0,0,0,1.00532,0,0.0019406,0.0019406,0.0019406
8,109.048,0,27.7638,0,0,0,0,0,0,1.01591,0,0.0019307,0.0019307,0.0019307
9,122.69,0,25.9077,0,0,0,0,0,0,0.91216,0,0.0019208,0.0019208,0.0019208
10,135.952,0,24.3767,0,0,0,0,0,0,0.89769,0,0.0019109,0.0019109,0.0019109
11,149.396,0,22.712,0,0,0,0,0,0,0.92437,0,0.001901,0.001901,0.001901
12,162.544,0,21.4583,0,0,0,0,0,0,0.8985,0,0.0018911,0.0018911,0.0018911
13,176.209,0,19.8673,0,0,0,0,0,0,0.77323,0,0.0018812,0.0018812,0.0018812
14,189.709,0,18.4007,0,0,0,0,0,0,0.72001,0,0.0018713,0.0018713,0.0018713
15,203.394,0,17.0425,0,0,0,0,0,0,0.66193,0,0.0018614,0.0018614,0.0018614
16,216.649,0,15.7467,0,0,0,0,0,0,0.59996,0,0.0018515,0.0018515,0.0018515
17,230.236,0,14.5206,0,0,0,0,0,0,0.55329,0,0.0018416,0.0018416,0.0018416
18,243.939,0,13.2964,0,0,0,0,0,0,0.51434,0,0.0018317,0.0018317,0.0018317
19,257.594,0,12.5563,0,0,0,0,0,0,0.44478,0,0.0018218,0.0018218,0.0018218
20,271.121,0,11.5675,0,0,0,0,0,0,0.44222,0,0.0018119,0.0018119,0.0018119
21,284.71,0,10.4956,0,0,0,0,0,0,0.4266,0,0.001802,0.001802,0.001802
22,298.8,0,9.52197,0,0,0,0,0,0,0.35095,0,0.0017921,0.0017921,0.0017921
23,312.724,0,8.69499,0,0,0,0,0,0,0.31983,0,0.0017822,0.0017822,0.0017822
24,326.762,0,7.92078,0,0,0,0,0,0,0.31955,0,0.0017723,0.0017723,0.0017723
25,341.007,0,7.19568,0,0,0,0,0,0,0.30188,0,0.0017624,0.0017624,0.0017624
26,355.342,0,6.5276,0,0,0,0,0,0,0.2457,0,0.0017525,0.0017525,0.0017525
27,368.531,0,5.92335,0,0,0,0,0,0,0.226,0,0.0017426,0.0017426,0.0017426
28,381.498,0,5.409,0,0,0,0,0,0,0.22025,0,0.0017327,0.0017327,0.0017327
29,395.042,0,4.8796,0,0,0,0,0,0,0.18582,0,0.0017228,0.0017228,0.0017228
30,408.699,0,4.41291,0,0,0,0,0,0,0.18053,0,0.0017129,0.0017129,0.0017129
31,422.493,0,3.9826,0,0,0,0,0,0,0.15861,0,0.001703,0.001703,0.001703
32,435.918,0,3.57882,0,0,0,0,0,0,0.14731,0,0.0016931,0.0016931,0.0016931
33,449.145,0,3.21585,0,0,0,0,0,0,0.12426,0,0.0016832,0.0016832,0.0016832
34,462.205,0,2.88613,0,0,0,0,0,0,0.11659,0,0.0016733,0.0016733,0.0016733
35,475.358,0,2.58686,0,0,0,0,0,0,0.09972,0,0.0016634,0.0016634,0.0016634
36,488.393,0,2.30918,0,0,0,0,0,0,0.08729,0,0.0016535,0.0016535,0.0016535
37,501.394,0,2.06177,0,0,0,0,0,0,0.07568,0,0.0016436,0.0016436,0.0016436
38,514.52,0,1.84428,0,0,0,0,0,0,0.06688,0,0.0016337,0.0016337,0.0016337
39,527.527,0,1.66853,0,0,0,0,0,0,0.06399,0,0.0016238,0.0016238,0.0016238
40,540.622,0,1.47503,0,0,0,0,0,0,0.05941,0,0.0016139,0.0016139,0.0016139
41,553.643,0,1.31844,0,0,0,0,0,0,0.05259,0,0.001604,0.001604,0.001604
42,566.746,0,1.17555,0,0,0,0,0,0,0.04851,0,0.0015941,0.0015941,0.0015941
43,579.837,0,1.05342,0,0,0,0,0,0,0.03729,0,0.0015842,0.0015842,0.0015842
44,592.91,0,0.92234,0,0,0,0,0,0,0.03289,0,0.0015743,0.0015743,0.0015743
45,605.946,0,0.81793,0,0,0,0,0,0,0.02876,0,0.0015644,0.0015644,0.0015644
46,619.92,0,0.72541,0,0,0,0,0,0,0.02722,0,0.0015545,0.0015545,0.0015545
47,633.495,0,0.64457,0,0,0,0,0,0,0.02367,0,0.0015446,0.0015446,0.0015446
48,647.441,0,0.57457,0,0,0,0,0,0,0.01905,0,0.0015347,0.0015347,0.0015347
49,661.511,0,0.50765,0,0,0,0,0,0,0.02255,0,0.0015248,0.0015248,0.0015248
